b,GREEN STRING BEANS,34.00,0.13,7.84,2.00,7.00
b,BREAD STUFFING,352.00,16.84,43.60,6.28,1028.00
b,CRANBERRY SAUCE (CANNED),43.00,0.04,11.03,0.06,8.00
b,MASHED POTATO (1CUP),210.00,7.43,33.01,3.78,485.00
b,TURKEY (1OZ),53.00,1.99,0.00,8.19,20.00
b,PORK CHOP (100G),250.00,14.57,0.00,27.91,386.00
b,MEAT LOAF (100G),204.00,12.11,6.52,16.16,414.00
b,DUCK (100G),336.00,28.23,0.00,18.91,221.00
b,CHICKEN (100G),237.00,13.49,0.00,27.07,404.00
b,BACON (1 THIN SLICE),27.00,2.09,0.07,1.85,116.00
b,BEEF (100G),288.00,19.54,0.00,26.33,384.00
b,ORANGE,62.00,0.16,15.39,1.23,0.00
b,BANANA (MEDIUM),105.00,0.39,26.95,1.29,1.00
b,EGG (LARGE),74.00,4.97,0.38,6.29,70.00
b,BLACK BEANS (CANNED),218.00,0.70,39.75,14.47,922.00
b,PIZZA SLICE,298.00,12.10,34.00,13.30,1000.00
b,BERRY PIE SLICE,360.00,17.50,49.20,4.00,272.00
b,YOGURT (4OZ),100.00,1.50,19.00,4.00,105.00
b,HOT DOG,314.00,18.60,24.30,11.40,810.00
b,HOT DOG BUN,145.00,2.00,26.00,5.10,260.00
r,HOTDOG+BUN,HOT DOG,1.0,HOT DOG BUN,1.0
b,POTATO SALAD (CUP),358.00,20.50,27.90,6.70,1322.00
b,BREAD (SLICE),80.00,1.00,15.00,2.00,276.00
b,PEANUT BUTTER (TBSP),95.00,8.00,3.50,4.00,73.00
r,PB SANDWICH,BREAD (SLICE),2.0,PEANUT BUTTER (TBSP),2.0
b,JELLY (TBSP),56.00,6.30,14.70,0.00,6.00
r,PB+J SANDWICH,PB SANDWICH,1.0,JELLY (TBSP),1.0
b,COLA (CAN),140.00,0.00,39.00,0.00,45.00
r,QUESTIONABLE MEAL,PIZZA SLICE,2.0,HOTDOG+BUN,2.0,POTATO SALAD (CUP),1.8,COLA (CAN),1.0,BERRY PIE SLICE,1.5
r,TURKEY DINNER,TURKEY (1OZ),1.0,MASHED POTATO (1CUP),2.0,CRANBERRY SAUCE (CANNED),1.0,BREAD STUFFING,1.0,GREEN STRING BEANS,1.0
b,TOMATO,100.00,10.00,100.00,10.00,100.00
b,Chicken Parm,500.00,40.00,120.00,30.00,50.00
